Quincy Richardson, quincy.richardson@uwaterloo.ca, antwindmonkey97
Jack Nguyen, jack.nguyen@uwaterloo.ca, yellowiguanaiguana24
Rachel Thompson, rachel.thompson@uwaterloo.ca, jellyfishkettlewhale96
Felix Rogers, felix.rogers@uwaterloo.ca, turtlecatpapaya71
Katie Hall, katie.hall@uwaterloo.ca, riverzephyrfig27
Derek Wright, derek.wright@uwaterloo.ca, zephyrearthnewt81
Rachel Collins, rachel.collins@uwaterloo.ca, frogcloudmango65
Nina Flores, nina.flores@uwaterloo.ca, kettlehorsemango50
Isla Reed, isla.reed@uwaterloo.ca, ugliiceugli58
Kelsey Green, kelsey.green@uwaterloo.ca, ugliicevanilla86
Isaac Peterson, isaac.peterson@uwaterloo.ca, riverpenguinyak85
Bella Ramos, bella.ramos@uwaterloo.ca, rabbitmangopenguin94
Kelsey Wright, kelsey.wright@uwaterloo.ca, datejellyfishjungle25
Grace Wilson, grace.wilson@uwaterloo.ca, watermelonnewtcat80
Ruby Wilson, ruby.wilson@uwaterloo.ca, valleymonkeyraspberry22
Phoebe Williams, phoebe.williams@uwaterloo.ca, hilllakemango16
Connor Watson, connor.watson@uwaterloo.ca, rabbitgrapezebra18
Oscar Murphy, oscar.murphy@uwaterloo.ca, orangekettleyak35
Logan Rodriguez, logan.rodriguez@uwaterloo.ca, xiguaiguanaxigua81
Gavin Hall, gavin.hall@uwaterloo.ca, dewwhaletangerine54
Sophie Sanchez, sophie.sanchez@uwaterloo.ca, horsetreerabbit85
Eleanor Diaz, eleanor.diaz@uwaterloo.ca, zebraquartzpenguin99
Kelsey Phillips, kelsey.phillips@uwaterloo.ca, mountainquartzzebra23
Vanessa Clark, vanessa.clark@uwaterloo.ca, owlkangarooriver24
Diana Kim, diana.kim@uwaterloo.ca, sharkmonkeyautumn68
Lara Morris, lara.morris@uwaterloo.ca, peakquartzhoneydew52
Hailey Adams, hailey.adams@uwaterloo.ca, zucchiniappleturtle46
Nolan Perez, nolan.perez@uwaterloo.ca, iguanariverxerus56
Owen Jackson, owen.jackson@uwaterloo.ca, whalejungleorange50
Piper Morgan, piper.morgan@uwaterloo.ca, bananavanillaapple79
Violet Clark, violet.clark@uwaterloo.ca, windpeakquail17
Wendy Wright, wendy.wright@uwaterloo.ca, bananadogearth35
Jordan Roberts, jordan.roberts@uwaterloo.ca, sharkvanillaugli41
Derek Rivera, derek.rivera@uwaterloo.ca, mountainvalleyant59
Fiona Roberts, fiona.roberts@uwaterloo.ca, owlugliturtle59
Kelsey Martinez, kelsey.martinez@uwaterloo.ca, lakeautumncat33
Ximena Allen, ximena.allen@uwaterloo.ca, nightturtletangerine60
Olivia Stewart, olivia.stewart@uwaterloo.ca, jellyfishelephanthoneydew16
Phoebe Miller, phoebe.miller@uwaterloo.ca, figyakshark67
Hannah Martin, hannah.martin@uwaterloo.ca, oceanquailmango45
Quinn Cox, quinn.cox@uwaterloo.ca, riverelderberryant34
Charlie Mitchell, charlie.mitchell@uwaterloo.ca, mountainvanillanight81
Yvonne Diaz, yvonne.diaz@uwaterloo.ca, grassxerusmango17
Nina Kelly, nina.kelly@uwaterloo.ca, kiwiquinceyawn12
George Allen, george.allen@uwaterloo.ca, dogquailstrawberry64
Victor Ward, victor.ward@uwaterloo.ca, cloudhoneydewlion91
Ivy Sanchez, ivy.sanchez@uwaterloo.ca, iguanaappleturtle41
Zane Gutierrez, zane.gutierrez@uwaterloo.ca, whaleflowerquail84
Uriah Ward, uriah.ward@uwaterloo.ca, owltreefig77
Phoebe Clark, phoebe.clark@uwaterloo.ca, iguanakiwiyawn75
Yvonne Morales, yvonne.morales@uwaterloo.ca, zucchininightxylophone38
Caleb Bennett, caleb.bennett@uwaterloo.ca, urchinkangarooyak35
Delilah Thomas, delilah.thomas@uwaterloo.ca, whalesandvulture17
Xander Hughes, xander.hughes@uwaterloo.ca, yellowkettlecat17
Ian Moore, ian.moore@uwaterloo.ca, strawberryfigugli65
Noah White, noah.white@uwaterloo.ca, xerustreeurchin38
Vanessa Torres, vanessa.torres@uwaterloo.ca, dogautumndog10
Cameron Sanchez, cameron.sanchez@uwaterloo.ca, nightnectarinedew79
Reed Wilson, reed.wilson@uwaterloo.ca, jellyfishnightearth20
Isaac Diaz, isaac.diaz@uwaterloo.ca, yakjungletree75
Kyle Ward, kyle.ward@uwaterloo.ca, kangaroograpevanilla46
Alice Green, alice.green@uwaterloo.ca, nectarinejungleflower78
Tyler Williams, tyler.williams@uwaterloo.ca, horseraspberrynewt65
Piper Ortiz, piper.ortiz@uwaterloo.ca, xerusyellowcloud11
Lara Cox, lara.cox@uwaterloo.ca, quailxiguaxylophone95
Delilah Lewis, delilah.lewis@uwaterloo.ca, quaillakevalley51
Aiden Lee, aiden.lee@uwaterloo.ca, monkeykiwiflower38
Samuel Thompson, samuel.thompson@uwaterloo.ca, zebrayakiguana45
Mia Kim, mia.kim@uwaterloo.ca, penguinhorsekangaroo12
Holden Chavez, holden.chavez@uwaterloo.ca, batbreezepeak88
Wesley Peterson, wesley.peterson@uwaterloo.ca, yakquartzpeak86
Reed Scott, reed.scott@uwaterloo.ca, dogsharkkangaroo39
Wesley James, wesley.james@uwaterloo.ca, nightmountaindog13
Ivy Peterson, ivy.peterson@uwaterloo.ca, kettledewcat68
Oscar Smith, oscar.smith@uwaterloo.ca, quincedogquince82
George Rodriguez, george.rodriguez@uwaterloo.ca, flowerhoneydewmango43
Caleb Moore, caleb.moore@uwaterloo.ca, quartzearthyawn99
Isla Cruz, isla.cruz@uwaterloo.ca, rabbitorangevanilla17
Faith Carter, faith.carter@uwaterloo.ca, kiwicatcat57
Holden Thompson, holden.thompson@uwaterloo.ca, earthxerusjellyfish63
Quincy Taylor, quincy.taylor@uwaterloo.ca, elderberrynewtquartz82
Grace Adams, grace.adams@uwaterloo.ca, newtpapayaurchin95
Ian Green, ian.green@uwaterloo.ca, penguinxiguawatermelon82
Olivia Cruz, olivia.cruz@uwaterloo.ca, kiwicherryxerus45
Adam Rivera, adam.rivera@uwaterloo.ca, mountaincherryurchin63
Grace James, grace.james@uwaterloo.ca, peakvulturekangaroo79
Zachary Taylor, zachary.taylor@uwaterloo.ca, sharknectarinecloud84
Ian Anderson, ian.anderson@uwaterloo.ca, batearthkiwi29
Xander Murphy, xander.murphy@uwaterloo.ca, elderberryzephyrurchin72
Nina Collins, nina.collins@uwaterloo.ca, datexiguaautumn34
Hannah Sanchez, hannah.sanchez@uwaterloo.ca, junglekettleowl99
Sophie Hill, sophie.hill@uwaterloo.ca, peakkettlepeak68
Bianca Morris, bianca.morris@uwaterloo.ca, newtgoatvalley72
Bob Stewart, bob.stewart@uwaterloo.ca, datemonkeymountain76
Phoebe Reed, phoebe.reed@uwaterloo.ca, zephyrxylophoneugli41
Jane Nguyen, jane.nguyen@uwaterloo.ca, tangerinerabbitlion12
Zane Edwards, zane.edwards@uwaterloo.ca, batjellyfishbat16
Bob Robinson, bob.robinson@uwaterloo.ca, appleyakjungle72
Victor White, victor.white@uwaterloo.ca, yakoceanwatermelon19
Reed Hughes, reed.hughes@uwaterloo.ca, owljellyfishquail32
Holden Allen, holden.allen@uwaterloo.ca, raspberrynightkiwi15
Holden Turner, holden.turner@uwaterloo.ca, valleyrabbitwind64
Eleanor Campbell, eleanor.campbell@uwaterloo.ca, dateantgrape10
Liam Phillips, liam.phillips@uwaterloo.ca, windgrapehoneydew90
Vanessa Mitchell, vanessa.mitchell@uwaterloo.ca, strawberrynewtlion39
Yvonne Nelson, yvonne.nelson@uwaterloo.ca, newtelephanturchin19
Daisy Gonzalez, daisy.gonzalez@uwaterloo.ca, froghoneydewgoat56
Yvonne Richardson, yvonne.richardson@uwaterloo.ca, strawberrynectarinejungle38
Kyle Bennett, kyle.bennett@uwaterloo.ca, strawberrylionfig61
Zachary Brooks, zachary.brooks@uwaterloo.ca, xylophoneraspberryautumn58
Megan Gray, megan.gray@uwaterloo.ca, zebraturtlexigua17
Liam Jones, liam.jones@uwaterloo.ca, yakorangelemon79
Noah Morris, noah.morris@uwaterloo.ca, valleyxylophonegrape92
Ruby Morris, ruby.morris@uwaterloo.ca, icemonkeyflower40
Olivia Moore, olivia.moore@uwaterloo.ca, earthsandraspberry48
Sophie Hernandez, sophie.hernandez@uwaterloo.ca, batxeruszebra77
Lara Allen, lara.allen@uwaterloo.ca, cloudvalleywatermelon42
Ian Hall, ian.hall@uwaterloo.ca, yellowvalleylemon18
Yusuf Turner, yusuf.turner@uwaterloo.ca, bananajellyfishxylophone12
Kelsey Adams, kelsey.adams@uwaterloo.ca, peakzebrapeak41
Phoebe Williams, phoebe.williams1@uwaterloo.ca, valleyurchinzebra61
Bob Nguyen, bob.nguyen@uwaterloo.ca, lakeflowerriver87
Edward James, edward.james@uwaterloo.ca, strawberrynightraspberry93
Tara Reyes, tara.reyes@uwaterloo.ca, rabbitmonkeyshark64
Diana Brown, diana.brown@uwaterloo.ca, bananasandgrass43
Isla Gomez, isla.gomez@uwaterloo.ca, kettlecherrypenguin20
Victor Bennett, victor.bennett@uwaterloo.ca, appleuglicat85
Edward Howard, edward.howard@uwaterloo.ca, frogxylophonebreeze77
Cameron Rodriguez, cameron.rodriguez@uwaterloo.ca, vulturekangarooyak83
Isla Davis, isla.davis@uwaterloo.ca, nightyawnvalley10
Uriah Cruz, uriah.cruz@uwaterloo.ca, yakhoneydewkettle67
Diana Kelly, diana.kelly@uwaterloo.ca, peakhillice49
John Phillips, john.phillips@uwaterloo.ca, icepenguinzucchini68
Wyatt Cox, wyatt.cox@uwaterloo.ca, vulturelionstrawberry76
Gabriella Morris, gabriella.morris@uwaterloo.ca, quailautumnnectarine60
Henry Cruz, henry.cruz@uwaterloo.ca, cherryquincenewt14
Gabriella Ramos, gabriella.ramos@uwaterloo.ca, jellyfishquartzstrawberry42
Owen Peterson, owen.peterson@uwaterloo.ca, yakyawnquince28
Isaac Johnson, isaac.johnson@uwaterloo.ca, tangerinelakefig92
Victor Taylor, victor.taylor@uwaterloo.ca, bananatreemonkey46
Jacob Kim, jacob.kim@uwaterloo.ca, oceanwatermelonapple45
Sebastian Moore, sebastian.moore@uwaterloo.ca, figcatgoat42
Vanessa Reyes, vanessa.reyes@uwaterloo.ca, quincequailumbrella40
Xena Cruz, xena.cruz@uwaterloo.ca, sharknectarinevalley86
Tyler Phillips, tyler.phillips@uwaterloo.ca, junglexiguakiwi67
Kelsey Sanchez, kelsey.sanchez@uwaterloo.ca, bananavalleysand72
Mia James, mia.james@uwaterloo.ca, zebravulturebreeze25
Zachary Martinez, zachary.martinez@uwaterloo.ca, yellowriverwind26
Zoey Phillips, zoey.phillips@uwaterloo.ca, uglixiguaant52
Tara Cook, tara.cook@uwaterloo.ca, oceannewtnight51
Ivy Ortiz, ivy.ortiz@uwaterloo.ca, owlmonkeyyawn69
Fiona Wood, fiona.wood@uwaterloo.ca, penguinyellowpapaya64
Quincy Garcia, quincy.garcia@uwaterloo.ca, penguinquailice77
Noah Edwards, noah.edwards@uwaterloo.ca, quincelemonhoneydew24
Eva Anderson, eva.anderson@uwaterloo.ca, yawngrasscherry87
Samuel Lopez, samuel.lopez@uwaterloo.ca, cloudiguanalake40
George Scott, george.scott@uwaterloo.ca, whalequartzbreeze32
Hailey Morales, hailey.morales@uwaterloo.ca, urchinwindgoat33
Yusuf Martinez, yusuf.martinez@uwaterloo.ca, valleyvultureyawn10
Sebastian Kelly, sebastian.kelly@uwaterloo.ca, figcherrystrawberry13
Caleb Morales, caleb.morales@uwaterloo.ca, nectarinenightyellow34
Wendy Thompson, wendy.thompson@uwaterloo.ca, valleywatermelonurchin81
Daisy Wood, daisy.wood1@uwaterloo.ca, watermelonhorseturtle61
Sophie Adams, sophie.adams@uwaterloo.ca, tangerinezucchinihill51
Bianca Young, bianca.young@uwaterloo.ca, nightzucchiniriver23
Ruby Ramos, ruby.ramos@uwaterloo.ca, cloudappleautumn38
Sebastian Mitchell, sebastian.mitchell@uwaterloo.ca, monkeyhoneydewflower20
Zachary Torres, zachary.torres@uwaterloo.ca, breezerivermountain23
Phoebe Adams, phoebe.adams@uwaterloo.ca, batmonkeyelderberry90
Owen Campbell, owen.campbell@uwaterloo.ca, dewflowermango31
Samuel Stewart, samuel.stewart@uwaterloo.ca, penguinelephantlemon68
Caleb Lopez, caleb.lopez@uwaterloo.ca, catbananacat71
Henry Sanchez, henry.sanchez@uwaterloo.ca, lionzebragoat81
