name,email,password
Julia Warren, "julia.warren@uwaterloo.ca", "25490dc0a7c46c06fb23537f066620b13858aa8995f1f2a972a42c0bdbd60335"
Alan Romero, "alan.romero@uwaterloo.ca", "550d71d1ee537ac2c203557c1a638cc25cca79e4d1e7cc2778e012f59e9a68ab"
Leonard Guzman, "leonard.guzman@uwaterloo.ca", "3dae63df14855f324f234fa377f0558da8e8705140a1f683e2f10f5879344652"
Walter Henderson, "walter.henderson@uwaterloo.ca", "23d436977b89f54f0a4b0b64d4cd3259f467a7462b41a329c9ff0d423c78a180"
Christine Reyes, "christine.reyes@uwaterloo.ca", "c1858fab452f7efa72b5d3782c49f32d9fd6547e789c9c6bab212a8a70589f78"
Joseph Rogers, "joseph.rogers@uwaterloo.ca", "c63b960c13b195db2a39aae1cf32b200a5f2904572e2facc9d27f0c0242decaa"
Alexander Clark, "alexander.clark@uwaterloo.ca", "570acb94a2e30ebbf1c2eff01e691487b11eab469a03d8c3a01e5231f0779367"
Lawrence Chavez, "lawrence.chavez@uwaterloo.ca", "d834f0f25b69af0e32f5163120c16b41d96e9efb28c94e23ea9a0fd5d80827dc"
Linda Patel, "linda.patel@uwaterloo.ca", "40dc48175071d3bc510828d570b16efc5b7cebc3ace605d33cdbe79183fd9d7d"
Randy Carter, "randy.carter@uwaterloo.ca", "2a8a9447b79f74fec5dd35bf124e3bbc4fed5cb63c2a526d45e6da7d6a707e08"
Ralph Gutierrez, "ralph.gutierrez@uwaterloo.ca", "96c5f0028d116c0327cdda6d5fedc85646a50b2e00d1a71629d97be77a431c76"
Brittany Kim, "brittany.kim@uwaterloo.ca", "1851f7550e66159da48c547f5583b0d0238a99905b48aceca5475267acc0bd96"
Ashley Scott, "ashley.scott@uwaterloo.ca", "50d1c19967957050770113bfa8d3134c73e00c667fdfeeba4fa28b1fbba10391"
Linda Torres, "linda.torres@uwaterloo.ca", "6a9e6d1f0f894779b9c29ddef5a346256c9f31db74fdc52f47ace9b09a467796"
Christian Perry, "christian.perry@uwaterloo.ca", "467110b1338b1d4e6c8ab311e29c69c81d4f811d893d998285f078ad84a1608a"
Karen Martin, "karen.martin@uwaterloo.ca", "404dd2bbc8ac189b71b48b96d3e20b11b7f4b902f144ad5ee475ec143bc30562"
Margaret Perez, "margaret.perez@uwaterloo.ca", "e701638910eec3e6624380b46560a99a1265281877ef0a07ce69df826cb6c4d7"
Dorothy Garza, "dorothy.garza@uwaterloo.ca", "700ec4bc0d21ce48d6ae4941eaa2c97731e83e3c929938d9b598355589e94d93"
Madison Bryant, "madison.bryant@uwaterloo.ca", "96b2210547c156761724afd7e4569239cefabe474bd3ee4d30469384d4d3cb93"
Theresa Brown, "theresa.brown@uwaterloo.ca", "31f92a046b6648e1232e94e9b9ebf59ab4c20017afccc11ccefe046002fb0afc"
Frances Jones, "frances.jones@uwaterloo.ca", "44fe5e0bc1ae46d1ed0cd8916903a17f80789e9eaebe2d75228fbbd8adf061be"
Mark Hernandez, "mark.hernandez@uwaterloo.ca", "f19d7adde7c9d4083c0fe87f18cde158533c0539f0fc9b6dc2f6a331b09330f2"
Victoria Mendez, "victoria.mendez@uwaterloo.ca", "ee7cfae875d75e563c0b6caad863f458ec766d7f84e899f0a7c92c778c428f39"
Cheryl Coleman, "cheryl.coleman@uwaterloo.ca", "fab46d48a83099584ec66c24c29e7d5710cd57d13b74dfe134e9d43fbdb74015"
Margaret Jackson, "margaret.jackson@uwaterloo.ca", "cdb8e75ed141d27e2d6f641cf2a2e29acf57e5fafc6dffbf4a9d9a3ab67e53ce"
Joshua Lopez, "joshua.lopez@uwaterloo.ca", "0f0a09a91270ef470820839157d75f20e44dc363377a57c1c087c6c280938505"
Keith Gray, "keith.gray@uwaterloo.ca", "7bd4cfd66c7ad1d230290e40120191d7c7caa0e97c93f8542aa18addb68b2a0e"
Dylan Kennedy, "dylan.kennedy@uwaterloo.ca", "70b599447f7bdf057d50cf2e4edfefad1f6fcfdefd3d2c09dc02450ca30384b4"
Jerry Barnes, "jerry.barnes@uwaterloo.ca", "1fbc3378a8772596f2c8c663c4d59829e672d8a745d2a8685e990929a0684d0e"
Diane Russell, "diane.russell@uwaterloo.ca", "61a7950f57ae9382a5cdce04f5c2e20d643d5b1f4d35a5beabc44ebabdb2f291"
Noah Patel, "noah.patel@uwaterloo.ca", "d64a5edec7819d5d1c3bb0e41965ef59e8de1424c8cab3b676c22ea19650d72e"
Jesse Wood, "jesse.wood@uwaterloo.ca", "9c019211c780beb325595dfe7812e1d0e6e8ba747a07cec985dac6f1be2f11ac"
Barbara Rice, "barbara.rice@uwaterloo.ca", "3c222c83a5bd6de18874853778a5b1ef4ba3f12c9b48dbb0a6c04e7e1e8c447c"
Bryan Ward, "bryan.ward@uwaterloo.ca", "fdf1615a19eb05e8a0d942f2beacc2e3a6188a832e8fdbb7234cdb461a706d8f"
Rachel Porter, "rachel.porter@uwaterloo.ca", "61ff99af0fe28a3ae71a8b4139dfd6847b8d59c948aaff0e0af4666066408a81"
Beverly Mcdonald, "beverly.mcdonald@uwaterloo.ca", "2997de3924b5853041b0877f3bbfabe475ca34ee7b62176ada9a982d97f29d6a"
Alexis Rose, "alexis.rose@uwaterloo.ca", "1e7a7b0a84a4e7fce8aff1a0e1dee4723df169ca6e79008a9778b0e133ba3dd2"
Mary Foster, "mary.foster@uwaterloo.ca", "9c80dd716a52422540fbf5337ea6176e05a643fb7ba85f6aca1aeba9b4d24d3d"
Megan Reed, "megan.reed@uwaterloo.ca", "1d5617fce194d59a41a55f99c906d4939d90484cf5d7d677c440129e7f8b0895"
Sandra Morales, "sandra.morales@uwaterloo.ca", "eb3580646fbbb5fa738044d855f31befe3b1e99b8652a8ff5e29132f104c8369"
Walter Gonzalez, "walter.gonzalez@uwaterloo.ca", "af340cf4418d0c3eb004cd4b243c067e0d0c2d0004f1e8cb60a7c6d91a32623c"
Ralph Hunt, "ralph.hunt@uwaterloo.ca", "96f817aa1e70641235d62d4e4a91aafa3ad61824aa36064dec5838a06b272943"
Elizabeth Watson, "elizabeth.watson@uwaterloo.ca", "392b50081b198e4a9ee07e5cfa9005c896e7f9c15ed8c46ebac136f39cf2e152"
Justin Cruz, "justin.cruz@uwaterloo.ca", "b7c532b60fffb04b255e7bcc76a85fd743ecce0bccd195b606638734934c92fe"
Charlotte Ross, "charlotte.ross@uwaterloo.ca", "602abc3239109cc58fc5c5a49727fc1a3c34ee64588105b9a63aedbe811708ff"
Nathan Fernandez, "nathan.fernandez@uwaterloo.ca", "ae035edf5b7244f8657a7089ec2e603b811a20ccbe780cb6029a0f5ad618f2c2"
Vincent Alexander, "vincent.alexander@uwaterloo.ca", "fde076adb13fbbff095adcac34e46d9be7dff86cd7b723325347dbcfd45cb50d"
Zachary Anderson, "zachary.anderson@uwaterloo.ca", "6da1b3801d78f647e5e6dbe15b2bc9c215e5bbef3e1455798523704a230b0855"
Patricia Mitchell, "patricia.mitchell@uwaterloo.ca", "034df8f2150b20398e5e46cb038e7de59fc591dcb1202d6cca7d0e57ce3403f4"
Elizabeth Ryan, "elizabeth.ryan@uwaterloo.ca", "ebfd1083070b3c92e943e4baf41ebb13ca258a312d26dcd65a538a71a091079a"
Patrick Rogers, "patrick.rogers@uwaterloo.ca", "075517f2b306da19216b40310f55defdfa4a55dc96ecb16188e9d2d6271fca95"
Sophia Stevens, "sophia.stevens@uwaterloo.ca", "ffe52d06f9e84c1df993960c0c09b4e80ca024e486c65526c0d8065b4c5293c8"
Matthew Stone, "matthew.stone@uwaterloo.ca", "ad152c5d0f24697495c9db133dd43363953299174bbe4d6d8bc19a0afbf6e7a4"
Philip Burns, "philip.burns@uwaterloo.ca", "000908dac6d3da32274aa0374c67a3f108e5260a822ae525156679b19dd6b9bd"
Christopher Black, "christopher.black@uwaterloo.ca", "8906ed18e2f59f1af75065c7331610c695b15a542a20863a530a079377c0e49a"
Lauren Rose, "lauren.rose@uwaterloo.ca", "a3909096314f234fe9e81eab83cdef3f243b3ece008777b766b1e69c6eff0f11"
Logan Evans, "logan.evans@uwaterloo.ca", "9858c58231a328e51190769490423b2a989d4e2659e90bc0d46ffb58afb3891f"
Walter Hamilton, "walter.hamilton@uwaterloo.ca", "2140a3208675e0305c89d2aa2e057a52e5e7043d3cf55faff081fa4ec925f25b"
Lauren Moore, "lauren.moore@uwaterloo.ca", "486dffd5209a1bb9b87903ad863d582efbfacdd77d1522c256634f5a333a27a1"
Cheryl Wells, "cheryl.wells@uwaterloo.ca", "ead28497532528a373eeef6b35644a24a3c3e46c14eec704c6e50df6c7de91da"
Judith Gomez, "judith.gomez@uwaterloo.ca", "694e31208621fb2e40a1488406216cb08f3378e63d0cf727dd9bef138b67857d"
Russell Jenkins, "russell.jenkins@uwaterloo.ca", "ab0ef26d947677e1b7abe4e33784db813e01304672f71d8f877178be8e784908"
Beverly Wilson, "beverly.wilson@uwaterloo.ca", "19e862a00b8a472a3d28c083ce61fa19256adb5a36976693b5e5e14e6ca78a9e"
Katherine Jackson, "katherine.jackson@uwaterloo.ca", "5f864bf87bde69e42657e4a08c3c901407dfd79cb0951d0bf96d10e25ed8f652"
Diana Brown, "diana.brown@uwaterloo.ca", "18b1622a23aea8f81cfadc6703a723e7bdabe7e20758658259f146a5f684d6ff"
Carol King, "carol.king@uwaterloo.ca", "d732570513c22358ad74c77d208814a0fea144a4f946c96fe1601400d9c52f3a"
Stephen Stevens, "stephen.stevens@uwaterloo.ca", "a9ed839ccac488234ce505aee69e3c9a6bd2aab7ae76a102bd2935d129969c21"
Bryan Green, "bryan.green@uwaterloo.ca", "efe2b6bef2a0a956e073670c1c1b79072359a8dfe10fca3831841b3e3aa9287e"
Debra Gonzales, "debra.gonzales@uwaterloo.ca", "a4a176706f0922594dfac3fc75ff90060e644c48eb0c2b39e52dc4d329ed82f9"
Alice Myers, "alice.myers@uwaterloo.ca", "71e9e9020a6d5c84797e1d9eb2c2fde463fc065b4b77baa619390aa8330fa612"
Austin Robertson, "austin.robertson@uwaterloo.ca", "57e8dfdb6bfcf9b3ca091873c5a29dde63edf3c09c66215d3f5b040210725235"
Isabella Evans, "isabella.evans@uwaterloo.ca", "b835ea2f4d9242da754e7e7dadba414c191de2c61c06ad5d6c9c6972e0c04dc1"
Richard Green, "richard.green@uwaterloo.ca", "9117c2538eda1c8e1226f1809fff71e49d34a3979d0256df7321972f57a18ad4"
Gabriel Harrison, "gabriel.harrison@uwaterloo.ca", "9a2e60e0918d009d73443b3b19ecd4a0ed3ea4655892c33bf9212f4fadabc07c"
Deborah Graham, "deborah.graham@uwaterloo.ca", "ce065f2a1253e491e5e17a1e5a48b7d687405cff08762a8df57e45e3f9afd77b"
Larry Perry, "larry.perry@uwaterloo.ca", "af2ebf6d1bc4b4201f47dc2fe6fcb17915711ffd33827fdaececb2b8c53260cb"
Anna Warren, "anna.warren@uwaterloo.ca", "056a5eec7ce3bd77c6e7ddb78744e38a47c61a9fe3f39a16796e0d17f3af9218"
Kelly Wallace, "kelly.wallace@uwaterloo.ca", "fc71a0d1d639daf716ddff6101fa8e6abed2bb5d312623c1a7da9defc3fa91b9"
Jack Adams, "jack.adams@uwaterloo.ca", "46f21dcc25db5dec3c93fb3a47c4544f5386160f7c89ec364a2807465c7f0543"
Cheryl Rogers, "cheryl.rogers@uwaterloo.ca", "e8ba68a391e91c18fbe38cfc852cb45a17605c91a7df9bf059c6304b1c17d7b6"
Juan Wallace, "juan.wallace@uwaterloo.ca", "61f3bf177ffbcb9a605999fce8b8437c649aa48e8c834e8b36a4ad6b56958f4b"
Willie Weaver, "willie.weaver@uwaterloo.ca", "4d93dfdb5e5b1a1d679b3933ce3f232b3afae180099ba862b562ae79f34d7187"
Raymond Ortiz, "raymond.ortiz@uwaterloo.ca", "11edf98c74cd8fba02f648882f4cee613ed6af9e29ec97e28e93698cb248642b"
Johnny Parker, "johnny.parker@uwaterloo.ca", "3a061d0666e36872ee25ae59f1b5d82cab03ad2b64ccb92db4f32432dd6284f7"
William Moore, "william.moore@uwaterloo.ca", "a7c861868e8c73a393ce708de3f20523378f5f2089319e65ad883585dfa50911"
Cheryl Stephens, "cheryl.stephens@uwaterloo.ca", "423963e58608caa9d9302f1a7884fde09094bb1484f424f52f196953c2a27e49"
Karen Hill, "karen.hill@uwaterloo.ca", "913366b3b9c15be6a82b37da40dac6d13cfeb30b1b6f30ef4ef8b87696530442"
Wayne Hall, "wayne.hall@uwaterloo.ca", "9c347153afb37cddee30144c7234336fcbd5143b9a45dc8b3292bef0b4c73820"
Carolyn Jones, "carolyn.jones@uwaterloo.ca", "bbccec7d10b4eac5661097af76ddc94e8a984b3787e0fb8239c16d87da531081"
Emily Powell, "emily.powell@uwaterloo.ca", "8efa6d52544824b22eed9aef41cb6c1ee1808f2c925f98349c7e86aa7280b6fb"
Mary Romero, "mary.romero@uwaterloo.ca", "11df3a127db4d3aa25c958b87359d9be6face742a34ece650d69905402ce3904"
Olivia Castillo, "olivia.castillo@uwaterloo.ca", "3e1bcb7ef1dea7edf96a6e75f5b216983acff1fec96ec6ed6f2576380713ba72"
Patricia Bailey, "patricia.bailey@uwaterloo.ca", "626f6008ff32bf7b7c16afed3ba05639224b22724d3fe1e236ce97a92ab44f2d"
Louis Moreno, "louis.moreno@uwaterloo.ca", "66d8f6b29309ca7f43e9a98d4e19bd948a7664b46f6ac56a591cb47ab9db16d3"
Anna Gomez, "anna.gomez@uwaterloo.ca", "666c6617947a03727b12f581a2b0151b901ea721f4d2cff47a2b5b4654e7427f"
Jennifer Jackson, "jennifer.jackson@uwaterloo.ca", "ef83bda69794d85d7a91f86bcdb15122b00e46b26a0fe4255693e7ebd297130a"
Paul Hicks, "paul.hicks@uwaterloo.ca", "c773949c0565e5e8c70f5416ff2f82c75aacde28c533ba82da1162971e9f7c68"
Henry Black, "henry.black@uwaterloo.ca", "57831fe44d2cbcf6213048895aa822ccf1cf70fcb6d41d331ecfadb43a0779c0"
Albert Hernandez, "albert.hernandez@uwaterloo.ca", "57d9a376db6a146c3992c1bca49ad991d6b7db23b30109a3ba448f8e1d10524b"
Rachel Vasquez, "rachel.vasquez@uwaterloo.ca", "b0c8cbefd4b7416a7d579cd1bd630209646919b8c5002af6d144ef59b5c4d4ee"
Jacob Ortiz, "jacob.ortiz@uwaterloo.ca", "c82af04c22136f9c84ff18dc41df80f2ab7e3418eb149b9f294d821087eace78"
Megan Hughes, "megan.hughes@uwaterloo.ca", "535b8a9d3ebe7839026dbe408d29b72e592e5fc952ba64b5bec31f3b5b8184d3"
Christopher Butler, "christopher.butler@uwaterloo.ca", "be171a0ad6af7ba3225bfcaa50e982798ffe1f697c194f854e9c638ca99232c8"
Beverly Rogers, "beverly.rogers@uwaterloo.ca", "3f55f36fa1bbcc5a39e461272eb462b0850071ead6abafd160963fd54e532cfc"
Frances Long, "frances.long@uwaterloo.ca", "be79ae7e1875e57f650774db76f236016368ee05f50c91d701915b23c4be24c8"
Austin Flores, "austin.flores@uwaterloo.ca", "e4be90fa6b0a7d2eaf69eda3d9f0bf831ee840463ffb8ef68e68817d91d3105b"
Linda Mendez, "linda.mendez@uwaterloo.ca", "d13ab422a629f9eaf3c683bc4b5a8584f01499de059dff12e63772508360080a"
Kevin Sanders, "kevin.sanders@uwaterloo.ca", "befcd3f730c9160c40c1aa347714154cf36d01eaf3a9ae5d480132128e84226d"
Roger Edwards, "roger.edwards@uwaterloo.ca", "237e556108ad3860b4d7db512badf8ac92a647b9edc6be15d7d1e2b2aff7296d"
Timothy Williams, "timothy.williams@uwaterloo.ca", "d1e459690dcea7b85514fa4338b6332c92219850f01849f4e8f738132d2236c8"
Jean Moore, "jean.moore@uwaterloo.ca", "b1e494d8a5b62ea069c3153c6454a512cbd447c3715fa0ba64ca1e75ba218ba7"
Albert Peterson, "albert.peterson@uwaterloo.ca", "549bb2ae9cece97170c99eb4a3781b11eb08f0078de6907b9ad68d442556346e"
Gary Jimenez, "gary.jimenez@uwaterloo.ca", "48f72978f21e983983f589d1b8eec3fcda3e5da9e78deb97d49d7eabb734b3f6"
Terry King, "terry.king@uwaterloo.ca", "2973d1982276423caa4bb024ea3ca2f5988a03e4dfd9b6a1a524df7c4f2fd33a"
Carl Mills, "carl.mills@uwaterloo.ca", "c1088c1979307ca74bfe574e89d3d42b190cc956179bff09fa771c53b7a0d0e0"
Adam Allen, "adam.allen@uwaterloo.ca", "a2ba7e3e91be2e906ea7d7afc7eda60c0d3a14a99bda2a04b3df6b39d024fd92"
Karen Collins, "karen.collins@uwaterloo.ca", "c44215ae7bc3fa4833700dd222e4b968808c6bc5e9f5e0ba958062ece1bd2183"
Jonathan Peterson, "jonathan.peterson@uwaterloo.ca", "78b444b076aa3d6010ff04941eff50308bf6f9b540555c8ab73d30ac7be9f705"
Janet Warren, "janet.warren@uwaterloo.ca", "aa8ab0b570614b35037b2ce5a9971d5f308b3ba6f6f8cd8e524a6d5940e9a7ff"
Joshua Nichols, "joshua.nichols@uwaterloo.ca", "2ad05751125a074328d928db68a39ece374ef37cda6ca27f55c234b2d34f9f2f"
Frank Gibson, "frank.gibson@uwaterloo.ca", "bfd2db6dbf07573d4b8480d891634e48ac89488adb46019bffaff2e115774c80"
Ryan Lopez, "ryan.lopez@uwaterloo.ca", "c7499b08559b0d71ab97729eb8781dded7de7c94299ea2adbcca9b62e0d92ebf"
Andrew Parker, "andrew.parker@uwaterloo.ca", "57ffd59738e7baf8a67b78587d9fd22eb14c581af12a61ad472e8ecef96e3eec"
Betty Ferguson, "betty.ferguson@uwaterloo.ca", "085ebfccdc434d38f30c20108aa62f6732a425a51d738ab3f370dd34b22ee43f"
Logan Reynolds, "logan.reynolds@uwaterloo.ca", "6b5ce880efc959e4df7b0eb9e37988added3af147b15450c1bc0de5a28a4f8e7"
Ronald Weaver, "ronald.weaver@uwaterloo.ca", "59589082328462f7a751e67f963b2e73d4846f8ce8ebf72dc238d3fd20c4f0bb"
Frances Russell, "frances.russell@uwaterloo.ca", "dfded30f65d98b775ae6a11bccc7291d75093020ce13ad37de4b7fa5cf30e8d8"
Benjamin Rice, "benjamin.rice@uwaterloo.ca", "8b9738478d7b2ff486920a89c70566f7ff7da26e44357f4947707807cf70b86c"
Pamela Stone, "pamela.stone@uwaterloo.ca", "a1dc12cd42fd2cadb96af89bc16d2236124c5c7b53a08bb2155b8a34143f4f03"
Jacqueline Rodriguez, "jacqueline.rodriguez@uwaterloo.ca", "26676e0a85abfaf4b18d4bad1bbfa7ffbd598f739ca63acc1906e5b81ef2499e"
