Jacob Salazar, jacob.salazar@uwaterloo.ca, quartzumbrellabat76
Bryan Adams, bryan.adams@uwaterloo.ca, quincexiguadew83
Philip Vargas, philip.vargas@uwaterloo.ca, tangerineiguanawatermelon18
Leonard Collins, leonard.collins@uwaterloo.ca, zebranightgoat25
Kevin Kim, kevin.kim@uwaterloo.ca, vultureelephantkettle50
Noah Campbell, noah.campbell@uwaterloo.ca, lioncherryorange19
Paul Bryant, paul.bryant@uwaterloo.ca, strawberrystrawberrylake90
Vincent Cruz, vincent.cruz@uwaterloo.ca, valleyvanillaearth46
Lori Wells, lori.wells@uwaterloo.ca, lemontangerinegrape76
Harold Silva, harold.silva@uwaterloo.ca, newtcatxigua63
Jessica Ryan, jessica.ryan@uwaterloo.ca, nightkangarooorange47
Michael Tran, michael.tran@uwaterloo.ca, zephyryakelderberry98
Marilyn Romero, marilyn.romero@uwaterloo.ca, windnectarinexerus75
Benjamin Perry, benjamin.perry@uwaterloo.ca, jungledatebanana87
Gabriel Cole, gabriel.cole@uwaterloo.ca, autumnhillelderberry74
Ann Ortiz, ann.ortiz@uwaterloo.ca, earthkiwikiwi61
Peter Mitchell, peter.mitchell@uwaterloo.ca, windmangokiwi85
Dylan Ferguson, dylan.ferguson@uwaterloo.ca, rabbittreehoneydew17
Michael Kim, michael.kim@uwaterloo.ca, antturtlevulture19
Marilyn Murray, marilyn.murray@uwaterloo.ca, nectarinefigapple71
Kevin Butler, kevin.butler@uwaterloo.ca, peakxeruscloud55
Aaron Ross, aaron.ross@uwaterloo.ca, breezeiceorange19
Julia Romero, julia.romero@uwaterloo.ca, dogmangozucchini21
Joshua Hamilton, joshua.hamilton@uwaterloo.ca, autumnxiguaice96
Patrick Wallace, patrick.wallace@uwaterloo.ca, goatiguanaorange77
Amber Edwards, amber.edwards@uwaterloo.ca, grassuglifrog73
Juan Murray, juan.murray@uwaterloo.ca, mountaindewquartz41
Zachary Vasquez, zachary.vasquez@uwaterloo.ca, xerussanddate28
Ralph Alvarez, ralph.alvarez@uwaterloo.ca, strawberrydogriver62
Jordan Ryan, jordan.ryan@uwaterloo.ca, monkeylakehorse58
Mary Campbell, mary.campbell@uwaterloo.ca, graperiverzebra52
Michelle Nguyen, michelle.nguyen@uwaterloo.ca, dogquartzorange93
Margaret Williams, margaret.williams@uwaterloo.ca, antwatermelonxerus17
Theresa Aguilar, theresa.aguilar@uwaterloo.ca, mountainapplefig65
Andrea Williams, andrea.williams@uwaterloo.ca, catgrapemountain72
Wayne Guzman, wayne.guzman@uwaterloo.ca, ugliyellowbat72
Brian Ford, brian.ford@uwaterloo.ca, oceanquincedate52
Doris Snyder, doris.snyder@uwaterloo.ca, junglepeaklemon17
Rebecca Taylor, rebecca.taylor@uwaterloo.ca, bananaurchinautumn65
Christian Flores, christian.flores@uwaterloo.ca, earthkettlequince59
Mary Kim, mary.kim@uwaterloo.ca, lakegrasshorse29
Justin Thompson, justin.thompson@uwaterloo.ca, frogyawngoat71
Keith Henry, keith.henry@uwaterloo.ca, quailjungleugli90
Teresa Bell, teresa.bell@uwaterloo.ca, vulturequailgrape58
Henry Fox, henry.fox@uwaterloo.ca, kangarooiguanaiguana33
Jonathan Crawford, jonathan.crawford@uwaterloo.ca, hillxiguazebra75
Logan Stewart, logan.stewart@uwaterloo.ca, datezucchinixerus39
Eugene Reed, eugene.reed@uwaterloo.ca, applegrassbreeze86
Julia Owens, julia.owens@uwaterloo.ca, junglegrassnewt39
Angela Robinson, angela.robinson@uwaterloo.ca, figcherryearth62
Betty Burns, betty.burns@uwaterloo.ca, kiwinectarinedew25
Shirley Price, shirley.price@uwaterloo.ca, nectarineflowermango91
Jeremy Ellis, jeremy.ellis@uwaterloo.ca, orangequailxylophone24
Evelyn Kennedy, evelyn.kennedy@uwaterloo.ca, catquincehoneydew16
Margaret Davis, margaret.davis@uwaterloo.ca, grassumbrellazucchini39
William Green, william.green@uwaterloo.ca, hillkiwicherry27
Daniel Harrison, daniel.harrison@uwaterloo.ca, kiwigrassowl79
Nicholas James, nicholas.james@uwaterloo.ca, windlakevulture98
Ruth Vargas, ruth.vargas@uwaterloo.ca, baticeumbrella38
Frances Ramirez, frances.ramirez@uwaterloo.ca, valleytangerinegrass26
Brenda Hunter, brenda.hunter@uwaterloo.ca, yakhorsexerus68
Catherine Brooks, catherine.brooks@uwaterloo.ca, elephantpenguinyawn53
Danielle Medina, danielle.medina@uwaterloo.ca, yawnmountainkangaroo35
Natalie Foster, natalie.foster@uwaterloo.ca, elderberrykiwigoat82
Madison Jenkins, madison.jenkins@uwaterloo.ca, hillowllion43
Brenda Graham, brenda.graham@uwaterloo.ca, grasselderberryrabbit94
Carolyn Robinson, carolyn.robinson@uwaterloo.ca, umbrellabatant69
Lisa Chavez, lisa.chavez@uwaterloo.ca, earthmangoturtle83
Timothy Johnson, timothy.johnson@uwaterloo.ca, raspberrywindearth80
Alexis Hicks, alexis.hicks@uwaterloo.ca, zebrapapayahoneydew63
Barbara Reyes, barbara.reyes@uwaterloo.ca, zephyryakjungle25
Grace Young, grace.young@uwaterloo.ca, breezehoneydewdew29
John White, john.white@uwaterloo.ca, turtleelephantwind91
Rose Webb, rose.webb@uwaterloo.ca, kangaroodewgrape62
Betty Mitchell, betty.mitchell@uwaterloo.ca, papayanectarinetree65
Danielle Reyes, danielle.reyes@uwaterloo.ca, jellyfishmonkeybanana87
Wayne Gutierrez, wayne.gutierrez@uwaterloo.ca, treejellyfishtree50
Ashley Bryant, ashley.bryant@uwaterloo.ca, xiguakettleelderberry85
Ann Hayes, ann.hayes@uwaterloo.ca, valleynewtbanana91
Dennis Graham, dennis.graham@uwaterloo.ca, figstrawberryrabbit39
Jerry Vasquez, jerry.vasquez@uwaterloo.ca, elderberryhillquail59
Gary Shaw, gary.shaw@uwaterloo.ca, whalewhaledew86
Nathan Ruiz, nathan.ruiz@uwaterloo.ca, xeruspeakfig38
Kelly Davis, kelly.davis@uwaterloo.ca, riverhorselemon49
Kayla Cook, kayla.cook@uwaterloo.ca, goatmonkeyelephant27
Juan Ramos, juan.ramos@uwaterloo.ca, quailvulturexerus64
Brenda Vasquez, brenda.vasquez@uwaterloo.ca, monkeyriverurchin18
Charlotte Griffin, charlotte.griffin@uwaterloo.ca, cloudvalleykangaroo51
Kayla Jenkins, kayla.jenkins@uwaterloo.ca, umbrellabathill55
Heather Fernandez, heather.fernandez@uwaterloo.ca, yawnyawnowl39
Elizabeth Garza, elizabeth.garza@uwaterloo.ca, junglekangarooflower18
Ann Brown, ann.brown@uwaterloo.ca, batnectarinekettle13
Lori Black, lori.black@uwaterloo.ca, dewautumnfrog68
Katherine Ryan, katherine.ryan@uwaterloo.ca, quailkettlefig59
Bruce Gardner, bruce.gardner@uwaterloo.ca, grapeyawntangerine17
Eugene Woods, eugene.woods@uwaterloo.ca, zephyrmangoapple21
Mark Porter, mark.porter@uwaterloo.ca, zephyrquincevanilla21
Helen Hayes, helen.hayes@uwaterloo.ca, quartzkiwiraspberry69
Jessica Barnes, jessica.barnes@uwaterloo.ca, mountaintreevanilla97
John Myers, john.myers@uwaterloo.ca, penguinxerushill43
Benjamin Woods, benjamin.woods@uwaterloo.ca, flowervulturebat70
Ethan Rodriguez, ethan.rodriguez@uwaterloo.ca, nectarineiguanabat65
Richard Sullivan, richard.sullivan@uwaterloo.ca, mountainjellyfishocean71
Russell Brown, russell.brown@uwaterloo.ca, umbrellamangoquail42
Linda Morgan, linda.morgan@uwaterloo.ca, catlemonapple43
Logan Chavez, logan.chavez@uwaterloo.ca, quincerabbitjellyfish91
Nancy Foster, nancy.foster@uwaterloo.ca, yawnwindvanilla21
Gerald Alexander, gerald.alexander@uwaterloo.ca, kiwibananaant63
Bryan Cook, bryan.cook@uwaterloo.ca, raspberrytreetangerine82
Virginia Romero, virginia.romero@uwaterloo.ca, sandtangerinecat91
Donald Alexander, donald.alexander@uwaterloo.ca, earthorangexylophone59
Jason Rogers, jason.rogers@uwaterloo.ca, orangestrawberrynight92
Virginia Patel, virginia.patel@uwaterloo.ca, quailvalleyyawn85
Scott Davis, scott.davis@uwaterloo.ca, honeydewxerushorse28
Julia Williams, julia.williams@uwaterloo.ca, xerusxylophoneant65
Kevin Olson, kevin.olson@uwaterloo.ca, nectarineantkettle29
Willie Simmons, willie.simmons@uwaterloo.ca, figjunglegrass55
Judy Hill, judy.hill@uwaterloo.ca, umbrellahorsedew28
Jennifer Ross, jennifer.ross@uwaterloo.ca, newtdewapple11
Jordan Chavez, jordan.chavez@uwaterloo.ca, urchinlionautumn47
Kenneth Myers, kenneth.myers@uwaterloo.ca, mountainowlice60
Ralph Holmes, ralph.holmes@uwaterloo.ca, peakumbrellasand12
Eric Snyder, eric.snyder@uwaterloo.ca, dogoceanugli23
Sarah Ramirez, sarah.ramirez@uwaterloo.ca, turtlexylophoneyawn32
Samuel Perry, samuel.perry@uwaterloo.ca, ugliearthzebra89
Stephanie Mason, stephanie.mason@uwaterloo.ca, nightlemonxylophone49
Gregory Harrison, gregory.harrison@uwaterloo.ca, riveryakwind92
Diane Mason, diane.mason@uwaterloo.ca, honeydewlemonkettle45
Lori Thomas, lori.thomas@uwaterloo.ca, batsharkvulture70
Judith Freeman, judith.freeman@uwaterloo.ca, treezebramountain65
Lori Wagner, lori.wagner@uwaterloo.ca, iguanamangoyellow31
Stephen Rivera, stephen.rivera@uwaterloo.ca, nighthillelderberry27
Theresa Chen, theresa.chen@uwaterloo.ca, papayadogtangerine65
Matthew Richardson, matthew.richardson@uwaterloo.ca, honeydewicehoneydew72
Rachel Cole, rachel.cole@uwaterloo.ca, riverowllemon29
Timothy Hunter, timothy.hunter@uwaterloo.ca, elephanthorsequince47
Carolyn Wallace, carolyn.wallace@uwaterloo.ca, xylophonebananaturtle12
Karen Baker, karen.baker@uwaterloo.ca, lionoceanorange33
Alexis Jackson, alexis.jackson@uwaterloo.ca, rivernewtxigua65
Ronald Phillips, ronald.phillips@uwaterloo.ca, autumngrassorange21
Heather Nelson, heather.nelson@uwaterloo.ca, junglevulturebat81
Albert Butler, albert.butler@uwaterloo.ca, mountainicekettle99
Joshua Lopez, joshua.lopez@uwaterloo.ca, jungleyakflower28
Amber Black, amber.black@uwaterloo.ca, breezelakezebra53
Stephanie Nelson, stephanie.nelson@uwaterloo.ca, penguinyakjellyfish29
Grace Gonzalez, grace.gonzalez@uwaterloo.ca, yakbreezevalley89
Amanda Gonzales, amanda.gonzales@uwaterloo.ca, breezecatcloud74
Vincent Clark, vincent.clark@uwaterloo.ca, quinceantbreeze30
Anna Barnes, anna.barnes@uwaterloo.ca, penguinwatermelonowl33
Sean Howard, sean.howard@uwaterloo.ca, xiguaxylophoneiguana83
Gary Ross, gary.ross@uwaterloo.ca, kangarooowlpapaya50
Janice Lewis, janice.lewis@uwaterloo.ca, quartzelderberryice87
Katherine Cook, katherine.cook@uwaterloo.ca, valleyyawnwhale12
Eric Brooks, eric.brooks@uwaterloo.ca, riverowlquince96
Theresa Mcdonald, theresa.mcdonald@uwaterloo.ca, dewnectarinebreeze90
Sharon Alexander, sharon.alexander@uwaterloo.ca, rivergoatdog70
Laura Foster, laura.foster@uwaterloo.ca, windvulturejellyfish34
Joan Garza, joan.garza@uwaterloo.ca, vulturekiwijellyfish58
Willie Turner, willie.turner@uwaterloo.ca, figtangerineorange87
Cynthia Ferguson, cynthia.ferguson@uwaterloo.ca, vulturehorsequince15
Daniel Patterson, daniel.patterson@uwaterloo.ca, lemongraperabbit35
Brandon Tucker, brandon.tucker@uwaterloo.ca, papayagrapebanana37
Gabriel Gonzales, gabriel.gonzales@uwaterloo.ca, kettlecherrylake78
Janice Griffin, janice.griffin@uwaterloo.ca, kiwigoatmonkey96
Donald Boyd, donald.boyd@uwaterloo.ca, rabbitlemonocean84
Maria Anderson, maria.anderson@uwaterloo.ca, cherryhorsecloud51
Marilyn Alvarez, marilyn.alvarez@uwaterloo.ca, umbrellalionrabbit72
Victoria Parker, victoria.parker@uwaterloo.ca, xiguawindgrape96
Johnny Simpson, johnny.simpson@uwaterloo.ca, dogbreezewind66
Michelle Freeman, michelle.freeman@uwaterloo.ca, honeydewxiguaiguana65
Christina Jimenez, christina.jimenez@uwaterloo.ca, xylophonefigsand15
Jesse Diaz, jesse.diaz@uwaterloo.ca, xiguawhaledew96
Willie Fox, willie.fox@uwaterloo.ca, applemountainxigua69
Kimberly Mendez, kimberly.mendez@uwaterloo.ca, kangaroodewturtle70
Edward Diaz, edward.diaz@uwaterloo.ca, vultureflowerdew25
Gloria Freeman, gloria.freeman@uwaterloo.ca, xylophonebatmango37
Alexis Porter, alexis.porter@uwaterloo.ca, watermeloniguanaquail52
Doris Cox, doris.cox@uwaterloo.ca, batbreezenectarine74
Carol Marshall, carol.marshall@uwaterloo.ca, quailquincefrog45
Joyce Thomas, joyce.thomas@uwaterloo.ca, zebraugliflower12
Ethan Jones, ethan.jones@uwaterloo.ca, oceaniguanawhale24
Austin Vargas, austin.vargas@uwaterloo.ca, cloudlionelderberry64
Harold Butler, harold.butler@uwaterloo.ca, lionkettlequail81
Elizabeth Parker, elizabeth.parker@uwaterloo.ca, oceanxeruspeak29
Evelyn Moore, evelyn.moore@uwaterloo.ca, quailumbrellaxerus62
Debra Ruiz, debra.ruiz@uwaterloo.ca, peakjunglewind63
Laura Chavez, laura.chavez@uwaterloo.ca, orangeyellowfrog56
Natalie Reed, natalie.reed@uwaterloo.ca, bananacherryelephant95
Gregory Williams, gregory.williams@uwaterloo.ca, xiguamountainautumn52
Heather Holmes, heather.holmes@uwaterloo.ca, catjellyfishelephant54
Roy Campbell, roy.campbell@uwaterloo.ca, elephantwhalenewt51
Laura Moore, laura.moore@uwaterloo.ca, doglioniguana55
Virginia Hill, virginia.hill@uwaterloo.ca, flowerzephyriguana73
Austin Myers, austin.myers@uwaterloo.ca, datemountainraspberry89
Sandra Taylor, sandra.taylor@uwaterloo.ca, datemangoflower19
Deborah Scott, deborah.scott@uwaterloo.ca, oceanmonkeylake88
Judith Martin, judith.martin@uwaterloo.ca, xiguagoatriver29
Brian Myers, brian.myers@uwaterloo.ca, urchinoceanyak51
David Rogers, david.rogers@uwaterloo.ca, lemongrassnectarine96
Rose Sanders, rose.sanders@uwaterloo.ca, elderberryorangekiwi98
Albert Graham, albert.graham@uwaterloo.ca, jellyfishhorsejellyfish53
Billy Tucker, billy.tucker@uwaterloo.ca, grapecloudlake89
Richard Daniels, richard.daniels@uwaterloo.ca, dogjunglewatermelon69
Jesse Ford, jesse.ford@uwaterloo.ca, vulturedogiguana90
Brenda Kennedy, brenda.kennedy@uwaterloo.ca, grapekangarooant78
Ann Cox, ann.cox@uwaterloo.ca, umbrellahorsenectarine21
Sophia Cruz, sophia.cruz@uwaterloo.ca, kangaroodogkangaroo88
Alan Green, alan.green@uwaterloo.ca, dateturtleocean83
Andrew Smith, andrew.smith@uwaterloo.ca, zebracatwatermelon50
Walter Schmidt, walter.schmidt@uwaterloo.ca, zebrahorseiguana20
Melissa Jimenez, melissa.jimenez@uwaterloo.ca, batzebrafig69
Barbara Evans, barbara.evans@uwaterloo.ca, grapelakequartz58
Robert Scott, robert.scott@uwaterloo.ca, antappleautumn90
Denise Guzman, denise.guzman@uwaterloo.ca, cherryumbrellaant57
Adam Green, adam.green@uwaterloo.ca, urchinzephyrstrawberry85
Harry Harrison, harry.harrison@uwaterloo.ca, xylophoneiguanamango65
Peter White, peter.white@uwaterloo.ca, nightyawnriver26
Isabella Johnson, isabella.johnson@uwaterloo.ca, penguinlakeshark48
Mark Torres, mark.torres@uwaterloo.ca, strawberrynewtvalley72
Bruce Moore, bruce.moore@uwaterloo.ca, ugligrasscloud72
David Freeman, david.freeman@uwaterloo.ca, mangohorsezephyr28
Sara Stephens, sara.stephens@uwaterloo.ca, lemonfrogugli49
Gerald Richardson, gerald.richardson@uwaterloo.ca, iguanaturtlehill22
Anthony Bennett, anthony.bennett@uwaterloo.ca, sandmangovalley24
Martha Davis, martha.davis@uwaterloo.ca, jungleiceturtle86
Gloria Holmes, gloria.holmes@uwaterloo.ca, elephanthorsepapaya70
Frank Thomas, frank.thomas@uwaterloo.ca, datebathill30
Lisa Baker, lisa.baker@uwaterloo.ca, cherrygoatapple23
Janice Cook, janice.cook@uwaterloo.ca, hilllemonquince18
Denise Nichols, denise.nichols@uwaterloo.ca, hillmountainnight83
Julie Watson, julie.watson@uwaterloo.ca, xiguasharkpenguin20
Kimberly Henderson, kimberly.henderson@uwaterloo.ca, xylophonemountainvanilla64
Stanley Gray, stanley.gray@uwaterloo.ca, yellowowlocean48
Harry Butler, harry.butler@uwaterloo.ca, zucchininewtbreeze14
Eugene Anderson, eugene.anderson@uwaterloo.ca, jellyfishjungledate68
Peter Wallace, peter.wallace@uwaterloo.ca, xylophonelemonlion96
Nancy Cole, nancy.cole@uwaterloo.ca, yakturtleshark37
Samantha Hunt, samantha.hunt@uwaterloo.ca, dogmountainapple38
Sophia Palmer, sophia.palmer@uwaterloo.ca, kangaroohillhorse82
Barbara Robertson, barbara.robertson@uwaterloo.ca, whalewatermelondew91
Elizabeth Miller, elizabeth.miller@uwaterloo.ca, autumnbananaquail38
Kevin Garcia, kevin.garcia@uwaterloo.ca, catdogbanana61
Sarah Webb, sarah.webb@uwaterloo.ca, breezecatyawn38
Kathryn Tucker, kathryn.tucker@uwaterloo.ca, autumnflowerwhale58
Gary Gomez, gary.gomez@uwaterloo.ca, oceanpapayaearth20
Christina Meyer, christina.meyer@uwaterloo.ca, autumnquincewhale22
Jacob Silva, jacob.silva@uwaterloo.ca, elephantxiguazephyr20
Nicholas Wagner, nicholas.wagner@uwaterloo.ca, jellyfishtangerinehoneydew26
Karen Bennett, karen.bennett@uwaterloo.ca, vultureoceanapple97
Janice Ross, janice.ross@uwaterloo.ca, papayafrogant72
Doris Kelly, doris.kelly@uwaterloo.ca, vulturequailfrog87
Cynthia Thomas, cynthia.thomas@uwaterloo.ca, jungleapplemountain92
Leonard Edwards, leonard.edwards@uwaterloo.ca, mountainpenguincat92
Christopher Fernandez, christopher.fernandez@uwaterloo.ca, sharkkettlevanilla52
Denise Harris, denise.harris@uwaterloo.ca, cloudyellowsand63
Patrick Murphy, patrick.murphy@uwaterloo.ca, riversharkshark96
Cynthia Woods, cynthia.woods@uwaterloo.ca, grapegrassfrog26
Victoria Washington, victoria.washington@uwaterloo.ca, quartznectarinezebra34
Lauren Ryan, lauren.ryan@uwaterloo.ca, kangaroovanillaice67
Teresa Edwards, teresa.edwards@uwaterloo.ca, grasselderberryumbrella92
Alexis Aguilar, alexis.aguilar@uwaterloo.ca, kiwizebrafrog24
Michelle Wright, michelle.wright@uwaterloo.ca, mangobreezeturtle19
Maria Webb, maria.webb@uwaterloo.ca, sandmountainice51
Albert Meyer, albert.meyer@uwaterloo.ca, dewkettlezucchini20
Tyler Garza, tyler.garza@uwaterloo.ca, sharkautumnquartz29
Jacob Meyer, jacob.meyer@uwaterloo.ca, sharkcherrymonkey64
Natalie Jenkins, natalie.jenkins@uwaterloo.ca, yaknewttree54
Susan Murray, susan.murray@uwaterloo.ca, cloudorangegoat74
Brenda Guzman, brenda.guzman@uwaterloo.ca, vulturezucchinimango53
Janice Romero, janice.romero@uwaterloo.ca, watermelonwatermelonwhale55
William Gomez, william.gomez@uwaterloo.ca, antxylophoneriver94
Tyler Campbell, tyler.campbell@uwaterloo.ca, iceowlshark89
Laura Ward, laura.ward@uwaterloo.ca, turtlewhaleelephant46
Ann Carter, ann.carter@uwaterloo.ca, grasscatautumn14
Abigail Lewis, abigail.lewis@uwaterloo.ca, watermelonbananawatermelon65
Mary Owens, mary.owens@uwaterloo.ca, nectarineyawnwhale31
Henry Johnson, henry.johnson@uwaterloo.ca, penguinhillkangaroo76
Christina Sullivan, christina.sullivan@uwaterloo.ca, jellyfishvalleyocean98
Mary Olson, mary.olson@uwaterloo.ca, flowerturtleearth36
Roy Smith, roy.smith@uwaterloo.ca, nightgrapezephyr48
Catherine Rice, catherine.rice@uwaterloo.ca, turtlegrassbanana82
Hannah Mcdonald, hannah.mcdonald@uwaterloo.ca, yakxiguazucchini33
Kathryn Clark, kathryn.clark@uwaterloo.ca, applecherrybat83
Steven Olson, steven.olson@uwaterloo.ca, watermelonautumngoat67
Sean Hamilton, sean.hamilton@uwaterloo.ca, strawberrylionmango48
Jeremy Mason, jeremy.mason@uwaterloo.ca, whaleyakwatermelon45
Logan Freeman, logan.freeman@uwaterloo.ca, mountainvulturemountain37
Joyce Washington, joyce.washington@uwaterloo.ca, xerusfrogocean70
Gabriel Wagner, gabriel.wagner@uwaterloo.ca, cloudhillnewt99
Kenneth Crawford, kenneth.crawford@uwaterloo.ca, yakantyak60
Margaret Jenkins, margaret.jenkins@uwaterloo.ca, kettlepenguinkettle12
Sharon Simpson, sharon.simpson@uwaterloo.ca, yakraspberrywatermelon69
Ann Morales, ann.morales@uwaterloo.ca, yaksandelderberry35
James Vargas, james.vargas@uwaterloo.ca, mangojellyfishxylophone36
John Wood, john.wood@uwaterloo.ca, zebrauglijellyfish84
Natalie Ross, natalie.ross@uwaterloo.ca, riverpeakgoat85
Gerald Martin, gerald.martin@uwaterloo.ca, vanillabreezeugli86
Kayla Aguilar, kayla.aguilar@uwaterloo.ca, rabbithillmango55
Brittany Johnson, brittany.johnson@uwaterloo.ca, whalecatelephant54
Austin Parker, austin.parker@uwaterloo.ca, kiwiflowerbat94
Eric Ellis, eric.ellis@uwaterloo.ca, zucchiniowlflower49
Tyler Morgan, tyler.morgan@uwaterloo.ca, xiguakiwiearth33
Diane Evans, diane.evans@uwaterloo.ca, liongrasskettle26
Austin Porter, austin.porter@uwaterloo.ca, kangarookangaroohorse40
William Foster, william.foster@uwaterloo.ca, autumnjunglepapaya84
Robert West, robert.west@uwaterloo.ca, zucchinimonkeyfig55
Diane James, diane.james@uwaterloo.ca, mangonewtcat74
Andrea Webb, andrea.webb@uwaterloo.ca, owlapplepenguin71
Jacqueline Holmes, jacqueline.holmes@uwaterloo.ca, antgrasscherry79
Nicholas Morales, nicholas.morales@uwaterloo.ca, dogflowerraspberry92
Samantha Fernandez, samantha.fernandez@uwaterloo.ca, watermelonrabbiturchin34
Philip Daniels, philip.daniels@uwaterloo.ca, elephantquailocean55
Benjamin Kelly, benjamin.kelly@uwaterloo.ca, zebracherryyawn71
Rachel James, rachel.james@uwaterloo.ca, orangenewtxerus53
Ryan Collins, ryan.collins@uwaterloo.ca, vultureiceocean54
Theresa Washington, theresa.washington@uwaterloo.ca, honeydewvanillaice97
Victoria Harrison, victoria.harrison@uwaterloo.ca, sharkwindearth11
Ann Bennett, ann.bennett@uwaterloo.ca, whalenightapple49
Jack Wood, jack.wood@uwaterloo.ca, strawberryquincelemon31
Patricia Cruz, patricia.cruz@uwaterloo.ca, dogautumnant21
Sophia Hicks, sophia.hicks@uwaterloo.ca, icegrapepapaya38
Tyler Thompson, tyler.thompson@uwaterloo.ca, datenightmonkey61
Edward Harrison, edward.harrison@uwaterloo.ca, windelderberryturtle37
Thomas Sanchez, thomas.sanchez@uwaterloo.ca, breezezebrajellyfish66
Brandon Ward, brandon.ward@uwaterloo.ca, umbrellalionshark73
Amber Rivera, amber.rivera@uwaterloo.ca, quincexerusyawn42
Stanley Ross, stanley.ross@uwaterloo.ca, orangeturtlenewt76
